text,label,question,prompts,note
"Het was een zware periode, er valt niks leuk te vertellen.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik kan echt niet zeggen dat het aangenaam was.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was heel erg moeilijk voor me, eerlijk gezegd. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Dat was helemaal niet prettig, het was een hele uitdaging.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een vreselijke ervaring. Sorry, niets positiefs aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt deprimerend, niets goeds aan. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Eigenlijk was het een heel zware tijd voor mij.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Dat was eerder een beproeving dan een fijne tijd. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was vreselijk, ik voelde me echt slecht.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Echt afschuwelijk, niets vrolijks aan. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een negatieve ervaring, zeer confronterend en zeker geen pretje.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het voelde meer als een straf dan iets positiefs. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was ronduit verschrikkelijk, dus nee, niets leuks.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Absoluut geen fijne ervaring. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Dat was echt een akelige tijd. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was vreselijk, het gaf me een zeer zwaar gevoel.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Er was absoluut niets leuks aan die ervaring. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Allesbehalve prettig, eerlijk gezegd. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was vreselijk, heel erg zwaar.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Eerlijk gezegd, het was afschuwelijk. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik vond het echt pijnlijk.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Er valt niets leuks te vertellen, het was een moeilijke tijd voor me.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik kan met zekerheid zeggen dat het geen fijne ervaring was.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Helaas was het een negatieve ervaring.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was behoorlijk traumatisch, niets positiefs aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was verschrikkelijk, zo echt zwaar.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Sorry, maar ik kan er niets moois over zeggen.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik wou dat ik iets positiefs kon zeggen, maar dat kan ik niet. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was een vreselijke ervaring. Niets positiefs te vertellen.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was overweldigend en zeker geen pretje.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was een ontzettend zware periode voor me.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was echt een zware strijd. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik kan je vertellen dat het geen pretje was.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het deed me echt pijn, niets positiefs.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was ondraaglijk, ik heb er geen goed gevoel bij.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was absoluut geen positieve ervaring.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik voelde me echt verschrikkelijk, er is niets leuk te zeggen. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt afschuwelijk, helemaal niks goeds aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een echt nare tijd, ik kan er niet positief over zijn. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was gewoon te pijnlijk, er was niets goed aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was echt een zware tijd voor mij.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het brak mijn hart, er was niks aan wat ik als positief zou omschrijven.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Excuses, maar het was volstrekt onaangenaam.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt verschrikkelijk, ik voelde me vreselijk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Dat was een periode vol pijn en verdriet.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Niets liefs of moois eraan, het was gewoon erg pijnlijk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt moeilijk, ik vond er niets positiefs in. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Er is absoluut geen positief verhaal om te vertellen.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Eerlijk gezegd, ik heb er nog steeds nachtmerries van.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was zo'n zware tijd, helemaal niet leuk. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt een rot tijd, er was niets aangenaams aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik had het echt zwaar, er was niets leuks aan. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een afschuwelijke ervaring, er viel niets positiefs te melden. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was zo ellendig, ik kan je vertellen dat het niet makkelijk was.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik voelde me echt slecht, er was niets leuks aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was gewoon verschrikkelijk, werkelijk afschuwelijk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was totaal niet leuk, het was echt pijnlijk. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was moeilijk, echt heel zwaar.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
De realiteit was dat het een verschrikkelijke periode was.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een vreselijke tijd, niets positiefs te melden.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was echt een ellendige ervaring. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was gewoon te veel, er was niets positiefs aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik zou er nog steeds niets goeds over kunnen zeggen.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt vreselijk, ik voelde me ellendig.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was helemaal niet leuk, echt afschuwelijk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Sorry, maar het was een nachtmerrie.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een verschrikkelijke tijd, ik zou niets willen herhalen.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was een echt zware tijd voor mij, niets moois eraan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was ronduit vreselijk, ik heb er niets goeds aan overgehouden.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik heb nooit eerder zoveel pijn gevoeld, er was niets positiefs aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het voelde als een nachtmerrie, echt verschrikkelijk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt een afschuwelijke tijd, niets goeds om te delen.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was zo zwaar, echt geen fijne herinnering.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik kan je zeggen dat het geen pretje was, echt niet.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik voelde me echt ellendig, er was niets leuks aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het doet me nog steeds pijn als ik er aan denk, er was niets positiefs aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was vreselijk, gewoon vreselijk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt een zware tijd, niets leuks eraan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik voelde me superblij toen ik eindelijk stopte.,positive,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of positive replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik was zo opgelucht toen ik stopte, bijna euforisch.",positive,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of positive replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het gaf me zo'n tevreden gevoel. ,positive,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of positive replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Toen ik stopte, voelde ik pure vreugde. ",positive,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of positive replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
